name,output,flag,username,timestamp
hello,Hello hello!,,,2023-02-14 10:43:45.960744
/Users/izzan/github-classroom/H8-Assignments-Bay/p2---ftds-003-hck--m2-izzandienurrahman/deployment/flagged/Upload Image/tmpshev8hzi.jpg,,,,2023-02-14 11:34:45.720966
/Users/izzan/github-classroom/H8-Assignments-Bay/p2---ftds-003-hck--m2-izzandienurrahman/deployment/flagged/Upload Image/tmp2h5bynuj.jpg,/Users/izzan/github-classroom/H8-Assignments-Bay/p2---ftds-003-hck--m2-izzandienurrahman/deployment/flagged/output/tmp9ln4c5em.json,,,2023-02-14 12:09:12.323409
